precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
mixed_fp32_fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,3684032,12,0.0,0.0,0.0,0.0,1.7046812779961882e-22,0.0,3.788180617769313e-22
mixed_fp32_fp64,2.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,2.0,50000000,12,0.0,0.0,1.3946884135650594e-23,0.0,8.090595585651298e-23,0.0,1.1158988786441863e-22
mixed_fp32_fp64,4.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,4.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,4.0,3684032,12,0.0,0.0,0.0,0.0,1.7046812779961882e-22,0.0,3.788180617769313e-22
mixed_fp32_fp64,4.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,4.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_fp32_fp64,4.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
